mushroom,tomato,3
garlic,sour cream,10
mushroom,onion,10
all-purpose flour,tomato,3
tomato,white wine,1
garlic,butter,2
garlic,white wine,2
tomato,beef stock,2
garlic,beef stock,4
butter,butter,14
onion,white wine,2
mushroom,butter,3
mushroom,beef stock,4
all-purpose flour,garlic,10
all-purpose flour,all-purpose flour,13
egg,baking powder,6
all-purpose flour,baking powder,9
baking powder,orange,1
baking powder,salt,1
baking powder,baking soda,1
vegetable shortening,baking powder,1
icing sugar,orange,1
butter,orange,1
orange,baking powder,1
egg,baking soda,7
vegetable shortening,orange,1
vegetable shortening,salt,1
white sugar,baking soda,7
baking soda,icing sugar,1
baking soda,butter,4
vegetable shortening,all-purpose flour,1
vegetable shortening,icing sugar,1
baking powder,icing sugar,2
baking powder,butter,6
vegetable shortening,baking soda,1
orange,icing sugar,1
orange,butter,1
egg,orange,1
icing sugar,butter,2
white sugar,baking powder,8
vegetable shortening,white sugar,1
baking soda,orange,1
baking soda,salt,5
orange,salt,1
all-purpose flour,baking soda,6
all-purpose flour,orange,1
orange,orange,1
salt,orange,1
vegetable shortening,egg,1
orange,baking soda,1
white sugar,orange,2
orange,all-purpose flour,1
vegetable shortening,butter,1
beef stock,cream cheese,1
beef stock,worcestershire sauce,1
pepper,worcestershire sauce,3
pepper,cream cheese,1
salt,cream cheese,3
worcestershire sauce,cream cheese,1
beef,cream cheese,1
garlic,cream cheese,1
all-purpose flour,cream cheese,3
mustard,cream cheese,1
butter,worcestershire sauce,3
onion,cream cheese,3
worcestershire sauce,mustard,1
butter,cream cheese,2
all-purpose flour,worcestershire sauce,3
sour cream,cream cheese,1
pepper,onion,6
garlic,worcestershire sauce,3
tomato,potato,2
onion,cream,2
tomato,butter,1
green bell pepper,pepper,1
celery,cream,1
green bell pepper,cream,1
green bell pepper,potato,2
celery,beetroot,2
water,green bell pepper,1
carrot,cream,1
beetroot,potato,2
cream,potato,1
tomato,dill,7
green bell pepper,cabbage,1
green bell pepper,tomato,4
carrot,butter,1
beetroot,cream,1
potato,potato,1
cream,dill,1
cabbage,potato,2
carrot,celery,2
cabbage,cream,1
butter,cream,4
green bell pepper,onion,4
salt,beetroot,1
cream,pepper,1
carrot,green bell pepper,2
water,cream,2
cream,salt,3
green bell pepper,dill,3
green bell pepper,beetroot,1
tomato,cream,1
potato,cream,2
green bell pepper,salt,3
celery,potato,2
water,beetroot,3
water,potato,5
salt,green bell pepper,1
green bell pepper,celery,1
salt,cream,3
green bell pepper,butter,1
celery,onion,1
milk,cabbage,1
egg,cabbage,3
dry active yeast,cabbage,1
white sugar,dry active yeast,2
all-purpose flour,cabbage,3
apple,brown sugar,1
salt,baking powder,4
baking powder,all-purpose flour,2
baking powder,cream,1
egg,brown sugar,2
cream,butter,2
apple,cinnamon,1
egg,apple,3
butter,brown sugar,1
egg,cream,5
all-purpose flour,cream,2
cream,cinnamon,1
apple,butter,1
all-purpose flour,apple,3
baking powder,egg,3
all-purpose flour,cinnamon,1
white sugar,cream,4
baking powder,cinnamon,1
white sugar,brown sugar,2
brown sugar,all-purpose flour,1
butter,cinnamon,2
cream,brown sugar,1
salt,cinnamon,2
baking powder,apple,3
white sugar,cinnamon,2
cream,apple,1
baking powder,brown sugar,1
egg,cinnamon,2
white sugar,apple,3
apple,all-purpose flour,2
cream,all-purpose flour,3
salt,apple,1
brown sugar,cinnamon,1
butter,apple,3
mayonnaise,onion,3
horseradish,worcestershire sauce,1
horseradish,ketchup,1
worcestershire sauce,parsley,2
onion,horseradish,1
mayonnaise,parsley,3
mayonnaise,horseradish,1
chili,ketchup,1
parsley,ketchup,1
mayonnaise,worcestershire sauce,2
onion,chili,1
mayonnaise,ketchup,2
parsley,chili,1
horseradish,chili,1
mayonnaise,chili,1
onion,ketchup,5
worcestershire sauce,chili,1
horseradish,parsley,1
worcestershire sauce,ketchup,1
vinegar,sour cream,2
onion,beetroot,2
celery,bay leaf,1
vinegar,dill,2
carrot,vinegar,4
beef,bay leaf,2
bay leaf,vinegar,1
beef,beetroot,1
celery,vinegar,1
water,bay leaf,3
onion,bay leaf,5
bay leaf,cabbage,1
bay leaf,sour cream,4
bay leaf,beetroot,1
beetroot,vinegar,2
sour cream,potato,1
water,sauerkraut,1
sour cream,water,3
all-purpose flour,potato,2
egg,sauerkraut,1
all-purpose flour,sauerkraut,1
sauerkraut,potato,2
salt,sauerkraut,1
potato,pickle,11
vinegar,salt,2
pickle,salt,5
potato,vinegar,1
beetroot,pickle,1
carrot,scallion,2
pickle,vinegar,1
vinegar,scallion,1
potato,scallion,6
pickle,scallion,2
beetroot,scallion,1
vegetable oil,scallion,1
potato,vegetable oil,5
carrot,vegetable oil,6
carrot,pickle,7
vegetable oil,vinegar,1
pickle,vegetable oil,2
beetroot,vegetable oil,2
baking soda,all-purpose flour,4
citric acid,all-purpose flour,1
salt,citric acid,1
baking soda,vegetable oil,4
milk,citric acid,1
baking soda,citric acid,1
citric acid,vegetable oil,1
citric acid,butter,1
egg,citric acid,1
citric acid,water,1
white sugar,citric acid,1
salt,baking soda,3
milk,baking soda,1
baking soda,water,2
eggplant,all-purpose flour,1
eggplant,sour cream,1
tomato,all-purpose flour,2
eggplant,garlic,2
eggplant,salt,3
eggplant,onion,4
lemon,sour cream,4
eggplant,tomato,4
sour cream,garlic,3
tomato,paprika,2
salt,paprika,2
pepper,paprika,2
lemon,onion,1
garlic,paprika,3
lemon,tomato,2
onion,paprika,3
eggplant,paprika,1
all-purpose flour,paprika,3
water,paprika,2
lemon,pepper,2
lemon,paprika,1
eggplant,lemon,1
eggplant,water,2
sour cream,paprika,1
eggplant,pepper,1
garlic,pepper,6
lemon,garlic,1
mayonnaise,mustard,2
ketchup,cream,1
mayonnaise,cream,1
sour cream,onion,3
ketchup,onion,1
sour cream,cream,2
sour cream,worcestershire sauce,2
mustard,cream,1
sour cream,ketchup,2
ketchup,parsley,1
chili sauce,parsley,1
mustard,parsley,2
onion,chili sauce,1
mayonnaise,sour cream,2
sour cream,mustard,2
worcestershire sauce,cream,1
cream,parsley,1
mustard,chili sauce,1
mustard,worcestershire sauce,1
mayonnaise,chili sauce,1
chili sauce,worcestershire sauce,1
ketchup,chili sauce,1
sour cream,chili sauce,1
chili sauce,cream,1
ketchup,mustard,1
ketchup,worcestershire sauce,2
sour cream,parsley,1
potato,cheddar cheese,3
walnut,garlic,2
beetroot,prune,1
prune,salt,2
beetroot,walnut,2
walnut,prune,2
mayonnaise,prune,1
walnut,mayonnaise,4
walnut,salt,3
mayonnaise,salt,6
beetroot,garlic,1
prune,garlic,1
egg,pickle,8
potato,egg,15
turkey,mayonnaise,1
